equipmentid,description,dept,deptid,purchasedate,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,mpg2020,emissions2020
31686,2019 DODGE Grand Caravan',OIT: Infrastructure,10696903,8/20/2019,"$22,796.00","$20,685.26","3,404","3,306",$131.51,22.31,369.3780481
31689,2019 DODGE Grand Caravan',Baltimore County Department of Library,BS001-2180,8/29/2019,"$22,796.00","$20,685.26","4,352","3,960",$192.05,18.92,556.954816
31814,2020 FORD FUSION (HYBRID)',Police Department - Administrative/Technical Services,10151502,12/17/2019,"$24,095.00","$22,087.08","4,259","4,269",$178.45,41.6,247.8368966
31702,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/29/2019,"$22,796.00","$19,629.89","14,616","13,939",$143.27,19.95,1773.633166
31705,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/29/2019,"$22,796.00","$19,629.89","7,480","7,153",$63.87,20.73,873.4029791
31698,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/30/2019,"$22,796.00","$19,629.89","15,467","14,410",$515.88,20.05,1867.654869
31808,2020 FORD FUSION (HYBRID)',Police Department - Office of the Chief,10151501,12/30/2019,"$24,095.00","$22,087.08","5,412","5,422",$324.12,53.77,243.6592097
31697,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/30/2019,"$22,796.00","$19,629.89","10,092","9,525",$282.91,21.49,1136.936462
31691,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,9/6/2019,"$22,796.00","$19,946.50","10,415","9,857",$163.73,15.04,1676.061014
31700,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,9/6/2019,"$22,796.00","$19,946.50","6,197","5,914",$78.40,19.02,788.7323542
31696,2019 DODGE Grand Caravan',Police Department - Vice/Narcotics,10151504,9/6/2019,"$22,796.00","$19,946.50","16,514","16,507",$595.49,19.07,2096.457832
31704,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,9/6/2019,"$22,796.00","$19,946.50","12,209","11,357",$238.45,19.51,1514.778617
31706,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,9/6/2019,"$22,796.00","$19,946.50","13,263","12,466",$40.38,25.17,1275.837317
31696,2019 DODGE Grand Caravan',Police Department - Vice/Narcotics,10151504,9/6/2019,"$22,796.00","$19,946.50","16,514","16,507",$595.49,19.07,2096.457832
31687,2019 DODGE Grand Caravan',Department of Health (Admin),10303001,9/18/2019,"$22,796.00","$20,896.33","4,480","4,230",$192.05,19.3,561.9705328
31679,2019 FORD E450',DPW: Bureau of Transportation Specialized Transp,005070XX22,9/19/2019,"$61,258.78","$56,153.88","13,086","12,039","$1,396.39",7.67,4132.056621
31678,2019 FORD E450',DPW: Bureau of Transportation,10707704,9/19/2019,"$61,258.78","$56,153.88","8,570","7,289",$141.07,7.85,2642.128308
31722,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/13/2019,"$39,186.00","$35,376.25","12,126","9,803",$557.70,10.36,2834.873044
31733,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/13/2019,"$39,186.00","$35,376.25","4,532","4,043",$174.80,11.65,942.0210044
31730,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/13/2019,"$39,186.00","$35,376.25","3,425","2,961",$235.30,16.3,508.6610122
31788,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","3,528","2,224",$241.80,3.29,2596.182863
31741,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","14,660","12,869",$493.28,8.37,4241.234522
31732,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","16,545","13,772","$1,121.29",8.48,4726.263297
31769,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","12,783","11,039",$589.39,8.7,3555.853062
31759,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,2/28/2020,"$39,186.00","$37,009.00",71,127,$74.47,9.88,17.40565559
31756,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25",880,407,$139.01,8.85,240.6866595
31737,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","16,639","12,355",$670.48,9.23,4364.78167
31775,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","16,465","13,305","$1,257.02",9.71,4106.555735
31774,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","15,857","13,354",$377.35,9.97,3852.146187
31720,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","8,903","7,266",$203.53,10.93,1971.585928
31719,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","10,496","9,154",$322.22,11.21,2265.93193
31785,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","9,667","8,315",$193.61,11.28,2074.045821
31763,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","4,766","4,253",$338.53,12.14,950.2633685
31749,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","4,932","4,084",$455.51,12.59,948.5344975
31777,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25",348,150,$154.66,12.91,65.2662864
31773,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","10,048","8,456",$459.49,14.17,1717.132248
31734,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","5,305","4,484",$219.87,14.29,898.4941379
31750,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","4,797","4,512",$152.69,14.54,798.5078864
31760,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","2,504","1,929",$208.17,14.65,413.7307017
31764,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","5,003","4,688",$663.45,16.17,749.162069
31762,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/15/2019,"$39,186.00","$35,376.25","6,818","6,938",$487.29,11.73,1407.586261
31748,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","1,069",953,$460.10,8.9,290.6870566
31751,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25",276,125,"$1,155.33",9.72,68.74400448
31778,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25",715,430,$90.15,9.75,177.4491656
31753,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","8,203","3,116",$538.11,10.19,1949.681748
31765,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25",523,150,$119.18,11.13,113.7876456
31735,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","16,406","13,104","$1,078.89",11.98,3316.033228
31786,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","13,751","9,869",$404.03,12.06,2759.702806
31768,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","5,431","4,600",$207.86,12.54,1048.588967
31721,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","2,283","1,065",$179.72,13.07,422.7615669
31728,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/25/2019,"$39,186.00","$35,376.25","5,906","5,151",$228.31,14.87,961.3894119
31723,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/27/2019,"$39,186.00","$35,376.25","9,612","7,885",$287.71,8.81,2642.347857
31776,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/27/2019,"$39,186.00","$35,376.25","6,051","5,095",$250.05,13.72,1067.499332
31787,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","6,908","7,028",$478.38,13.55,1233.894228
31747,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/27/2019,"$39,186.00","$35,376.25","3,424","3,084",$244.49,13.74,603.2737606
31739,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/27/2019,"$39,186.00","$35,376.25","3,715","3,424",$319.87,13.86,648.7038389
31767,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/27/2019,"$39,186.00","$35,376.25","4,712","3,804",$385.39,14.1,809.308631
31744,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/27/2019,"$39,186.00","$35,376.25","7,047","4,000",$267.92,28,609.3138214
31816,2020 FORD FUSION (HYBRID)',Police Department - Administrative/Technical Services,10151502,12/11/2019,"$24,095.00","$22,087.08","6,073","5,294",$271.52,35.51,414.0871723
31815,2020 FORD FUSION (HYBRID)',Police Department - Investigative Services,10151503,12/11/2019,"$24,095.00","$22,087.08","5,913","4,744",$178.45,37.89,377.7701404
31738,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,12/13/2019,"$39,186.00","$35,920.50",536,345,$145.20,8.54,151.919785
31752,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,12/13/2019,"$39,186.00","$35,920.50","13,099","11,240",$360.85,8.63,3673.648649
31745,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,12/13/2019,"$39,186.00","$35,920.50","2,363","1,576",$83.45,10.41,549.503925
31731,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,12/13/2019,"$39,186.00","$35,920.50","3,634","2,697",$144.96,12.1,727.0267309
31724,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,12/13/2019,"$39,186.00","$35,920.50","3,513","2,801",$214.10,13.31,639.0723553
31766,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,12/13/2019,"$39,186.00","$35,920.50","3,880",150,$111.06,18.99,494.72328
31727,2020 FORD EXPLORER AWD',Police Department - Investigative Services,10151503,12/13/2019,"$39,186.00","$35,920.50","4,627","4,002",$81.05,23.96,467.6163436
31820,2020 FORD FUSION (HYBRID)',Police Department - Administrative/Technical Services,10151502,12/16/2019,"$24,095.00","$22,087.08","2,299","2,260",$195.79,40.68,136.8073356
31821,2020 FORD FUSION (HYBRID)',Police Department - Office of the Chief,10151501,12/16/2019,"$24,095.00","$22,087.08","3,377","3,000",$178.45,45.15,181.0648792
31800,2020 FORD FUSION (HYBRID)',Police Department - Investigative Services,10151503,12/17/2019,"$24,095.00","$22,087.08","10,887","9,581",$220.38,33.02,798.1505371
31819,2020 FORD FUSION (HYBRID)',Police Department - Administrative/Technical Services,10151502,12/17/2019,"$24,095.00","$22,087.08","6,238","5,817",$188.66,39.47,382.6305555
31801,2020 FORD FUSION (HYBRID)',Police Department - Office of the Chief,10151501,12/17/2019,"$24,095.00","$22,087.08","6,163","5,203",$336.86,40.42,369.1585237
31817,2020 FORD FUSION (HYBRID)',Police Department - Investigative Services,10151503,12/18/2019,"$24,095.00","$22,087.08","5,840","4,830",$217.10,30.85,458.3495344
31804,2020 FORD FUSION (HYBRID)',Police Department - Administrative/Technical Services,10151502,12/18/2019,"$24,095.00","$22,087.08","3,951","3,702",$178.45,33,289.829191
31805,2020 FORD FUSION (HYBRID)',Police Department - Operations,10151506,12/18/2019,"$24,095.00","$22,087.08","10,668","9,504",$283.73,33.37,773.9200613
31811,2020 FORD FUSION (HYBRID)',Police Department - Operations,10151506,12/18/2019,"$24,095.00","$22,087.08","1,848","1,520",$178.45,37.9,118.0608295
31754,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/27/2019,"$39,186.00","$35,376.25","3,880","4,000",$479.92,28,335.4814286
31746,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,11/19/2019,"$39,186.00","$35,376.25","3,880","4,000",$235.50,28,335.4814286
31809,2020 FORD FUSION (HYBRID)',Police Department - Operations,10151506,12/18/2019,"$24,095.00","$22,087.08","2,995","2,552",$178.45,42,172.6403571
31799,2020 FORD FUSION (HYBRID)',Police Department - Investigative Services,10151503,12/24/2019,"$24,095.00","$22,087.08","3,713","3,078",$178.45,31.37,286.584648
31826,2020 CHEVROLET TAHOE',Police Department - Support Operations,10151507,2/26/2020,"$36,052.00","$34,049.11","1,134","1,871",$301.05,18,152.531152
31825,2020 CHEVROLET TAHOE',Police Department - Support Operations,10151507,2/26/2020,"$36,052.00","$34,049.11",270,494,$253.19,18,36.30911903
31832,2020 CHEVROLET TAHOE',Police Department - Support Operations,10151507,2/26/2020,"$36,052.00","$34,049.11",362,812,$153.61,18,48.67700764
31833,2020 CHEVROLET TAHOE',Police Department - Support Operations,10151507,2/26/2020,"$36,052.00","$34,049.11",424,865,$273.27,18.01,57.00954007
31717,2019 Nissan FRONTIER',0,0,12/20/2019,"$22,300.00","$20,441.67","5,183","5,183",$-,#VALUE!,#VALUE!
31674,2019 FORD F350',Police Department - Investigative Services,10151503,5/23/2019,"$102,720.71","$84,173.92","8,887","10,398",$378.26,7.66,2809.48272
31676,2019 FORD F350',Police Department - Investigative Services,10151503,5/23/2019,"$102,720.71","$84,173.92","15,856","19,066",$242.72,9.68,3964.252602
31675,2019 FORD F350',Police Department - Investigative Services,10151503,5/23/2019,"$102,720.71","$84,173.92","24,578","25,904",$540.75,10.8,5507.986757
31657,2019 FORD F250',Department of Public Works (Administration),10707201,10/17/2018,"$35,258.06","$28,728.79","14,613","20,473",$882.88,11.22,3152.852808
31658,2019 FORD F250',DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,10/17/2018,"$35,258.06","$28,728.79","3,214","5,328",$40.48,11.75,662.3568643
31807,2020 FORD FUSION (HYBRID)',Police Department - Investigative Services,10151503,12/27/2019,"$24,095.00","$22,087.08","4,860","4,483",$246.81,35.29,333.4023203
31806,2020 FORD FUSION (HYBRID)',Police Department - Operations,10151506,12/27/2019,"$24,095.00","$22,087.08","6,983","5,735",$234.88,35.73,473.1867338
31802,2020 FORD FUSION (HYBRID)',Police Department - Office of the Chief,10151501,12/27/2019,"$24,095.00","$22,087.08","6,184","5,291",$254.91,38.31,390.8256677
31877,2019 FORD E450',DPW: Bureau of Transportation,10707704,5/19/2020,"$60,559.00","$59,998.27","9,799","13,898",$748.23,8.3,2857.994626
31818,2020 FORD FUSION (HYBRID)',Police Department - Office of the Chief,10151501,12/30/2019,"$24,095.00","$22,087.08","2,786","2,114",$178.45,38.45,175.4186054
31810,2020 FORD FUSION (HYBRID)',Police Department - Investigative Services,10151503,12/30/2019,"$24,095.00","$22,087.08","8,431","6,918",$231.76,40.19,507.9258875
31813,2020 FORD FUSION (HYBRID)',Police Department - Investigative Services,10151503,12/30/2019,"$24,095.00","$22,087.08","5,251","4,367",$440.81,42,302.6826429
31761,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/3/2020,"$39,186.00","$36,464.75","2,184","1,327",$181.06,11.42,462.9619006
31781,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/3/2020,"$39,186.00","$36,464.75","2,745","2,120",$65.94,11.65,570.20888
31757,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/3/2020,"$39,186.00","$36,464.75","3,234","2,598",$155.18,13,602.2216253
31812,2020 FORD FUSION (HYBRID)',Police Department - Operations,10151506,1/21/2020,"$24,095.00","$22,421.74","5,990","5,125",$274.98,40.57,357.4372903
31779,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/22/2020,"$39,186.00","$36,464.75",573,138,$154.17,9.64,143.969563
31755,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/22/2020,"$39,186.00","$36,464.75","1,067",801,$166.31,9.8,263.5451636
31743,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/22/2020,"$39,186.00","$36,464.75","9,934","9,369",$475.64,9.83,2446.889154
31780,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/22/2020,"$39,186.00","$36,464.75","1,742","1,170",$67.98,11.58,364.100646
31742,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,1/22/2020,"$39,186.00","$36,464.75","3,302","2,963",$356.83,13.22,604.808239
31726,2020 FORD EXPLORER AWD',Police Department - Investigative Services,10151503,1/22/2020,"$39,186.00","$36,464.75","5,088","3,916",$217.06,19.22,640.7838504
31736,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,2/10/2020,"$39,186.00","$37,009.00",294,150,$146.53,10.88,65.4357564
31740,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,2/11/2020,"$39,186.00","$37,009.00",360,125,$91.77,7.39,117.9743616
31770,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,2/11/2020,"$39,186.00","$37,009.00","1,395",824,$164.11,10.04,336.2949694
31771,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,2/11/2020,"$39,186.00","$37,009.00","1,704","1,476",$224.02,11.69,352.94952
31725,2020 FORD EXPLORER AWD',Police Department - Operations,10151506,2/11/2020,"$39,186.00","$37,009.00","1,107","1,033",$106.00,13.37,200.5235553
31789,2020 FORD EXPLORER AWD',Police Department - Support Operations,10151507,3/16/2020,"$39,186.00","$37,553.25","3,504","2,516",$227.72,13.99,606.1632828
31792,2020 FORD EXPLORER AWD',Police Department - Support Operations,10151507,3/16/2020,"$39,186.00","$37,553.25",280,125,$332.89,17.36,39.045888
31793,2020 FORD EXPLORER AWD',Police Department - Support Operations,10151507,3/16/2020,"$39,186.00","$37,553.25","5,170","3,731",$524.42,17.53,713.8571242
31790,2020 FORD EXPLORER AWD',Police Department - Support Operations,10151507,3/16/2020,"$39,186.00","$37,553.25","4,949","3,590",$405.20,24.74,484.3007446
31695,2019 DODGE Grand Caravan',0,0,8/30/2019,"$22,796.00","$19,629.89","13,858","13,858",$-,#VALUE!,#VALUE!
31791,2020 FORD EXPLORER AWD',Police Department - Support Operations,10151507,4/7/2020,"$39,186.00","$38,097.50","4,897","3,666",$233.37,18.49,641.3556819
31797,2020 FORD EXPLORER AWD',Police Department - Support Operations,10151507,4/7/2020,"$39,186.00","$38,097.50","4,024","1,094",$336.97,18.97,513.5531423
31713,2019 Chrysler 300',Police Department - Office of the Chief,10151501,10/31/2019,"$22,973.00","$20,420.44","5,237","30,665","$5,692.00",24,528.282375
31716,2019 CHEVROLET MALIBU',Police Department - Community Resources,10151508,10/31/2019,"$17,163.00","$15,256.00","6,552","19,658",$98.78,21,755.352
31710,2019 CHEVROLET EQUINOX (SUV)',0,0,10/18/2019,"$18,500.00","$16,444.44","12,386","38,369",$532.65,101.56,295.2462206
31664,2018 JEEP CHEROKEE',Vehicle Operations and Maintenance,210101003,11/20/2018,"$23,000.00","$16,930.56","5,091","9,797",$9.84,24,513.554625
31540,2018 FORD TRANSIT',Police Department - Support Operations,10151507,1/11/2018,"$32,195.00","$19,227.57","13,530","21,349",$862.67,12.05,2718.932168
31542,2018 FORD TRANSIT',DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,2/14/2018,"$27,613.00","$20,454.07","10,437","19,381",$112.13,12.34,2046.965583
31539,2018 FORD TRANSIT',Police Department - Administrative/Technical Services,10151502,12/19/2017,"$25,590.00","$14,927.50","4,774","10,584",$128.27,16.3,708.8686079
31578,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/24/2018,"$27,424.00","$17,901.78","33,963","60,364","$3,448.90",8.1,10154.15231
31564,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/31/2018,"$27,424.00","$17,901.78","22,404","56,908","$3,552.39",8.5,6384.313704
31555,2018 FORD TAURUS AWD',Police Department - Operations,10151506,6/21/2018,"$27,424.00","$18,282.67","36,725","62,317","$3,854.22",8.6,10333.77372
31572,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/24/2018,"$27,424.00","$17,901.78","14,981","33,448",$636.21,8.74,4148.153134
31588,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","38,089","55,445","$4,448.57",9.08,10161.24405
31551,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","32,932","53,911","$2,331.85",9.51,8381.602054
31560,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","37,558","79,459","$4,145.60",9.62,9452.502868
31573,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","45,189","83,704","$5,789.18",10.17,10755.22247
31589,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","37,182","56,236","$7,492.00",10.46,8606.738572
31569,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","44,308","65,591","$3,793.03",10.94,9808.213403
31559,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/18/2018,"$27,424.00","$17,901.78","50,900","102,865","$5,973.83",10.99,11217.90898
31563,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","33,501","50,061","$3,694.46",11.37,7130.37388
31579,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/31/2018,"$27,424.00","$17,901.78","41,593","68,662","$4,808.24",11.47,8779.53618
31561,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","17,017","26,211",$251.81,11.62,3544.462399
31554,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","26,094","55,666","$2,076.84",11.72,5388.490464
31582,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","44,586","71,481","$4,184.19",11.75,9185.104151
31558,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","50,396","92,592","$4,393.61",11.96,10203.23451
31586,2018 FORD TAURUS AWD',Police Department - Operations,10151506,6/21/2018,"$27,424.00","$18,282.67","16,263","31,992","$1,254.06",12.3,3200.756731
31562,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/31/2018,"$27,424.00","$17,901.78","27,423","52,062","$2,194.63",12.43,5342.874115
31575,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/24/2018,"$27,424.00","$17,901.78","38,163","75,293","$4,045.58",12.49,7399.300143
31557,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/18/2018,"$27,424.00","$17,901.78","53,173","108,023","$5,435.89",12.5,10302.51503
31566,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","23,881","35,105","$2,295.39",12.56,4603.005423
31556,2018 FORD TAURUS AWD',Police Department - Operations,10151506,6/21/2018,"$27,424.00","$18,282.67","44,734","75,966","$5,487.71",12.63,8576.403575
31585,2018 FORD TAURUS AWD',Police Department - Operations,10151506,6/21/2018,"$27,424.00","$18,282.67","25,911","44,594","$1,899.34",12.67,4950.569041
31574,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","42,947","50,394","$4,304.32",12.68,8201.835437
31581,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/31/2018,"$27,424.00","$17,901.78","49,849","96,152","$5,386.61",12.81,9424.159602
31587,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/31/2018,"$27,424.00","$17,901.78","8,370","11,289",$127.38,12.86,1576.208617
31553,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/24/2018,"$27,424.00","$17,901.78","44,681","85,605","$4,577.49",12.86,8408.356736
31584,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","37,453","88,395","$5,608.41",13.01,6969.981996
31552,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/18/2018,"$27,424.00","$17,901.78","49,657","91,500","$4,825.90",13.44,8946.243136
31571,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","50,396","78,888","$4,486.43",13.61,8964.473175
31580,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","24,427","37,206",$979.54,14.44,4094.312047
31577,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/22/2018,"$27,424.00","$17,901.78","16,874","28,733","$1,020.96",14.47,2823.836404
31570,2018 FORD TAURUS AWD',Police Department - Operations,10151506,5/30/2018,"$27,424.00","$17,901.78","25,325","41,897","$1,253.59",14.61,4196.604692
